time	V(vid)	V(vodn)	V(vodp)
0.000000000000000e+000	0.000000e+000	4.837930e+000	4.837930e+000
3.571428613164635e-009	3.365992e-006	4.837887e+000	4.837969e+000
7.142857226329270e-009	6.731984e-006	4.837815e+000	4.838039e+000
1.071428583949391e-008	1.009798e-005	4.837714e+000	4.838139e+000
1.428571445265854e-008	1.346397e-005	4.837583e+000	4.838270e+000
1.785714306582317e-008	1.682996e-005	4.837423e+000	4.838431e+000
2.142857167898781e-008	2.019595e-005	4.837234e+000	4.838622e+000
2.500000029215244e-008	2.356194e-005	4.837015e+000	4.838844e+000
5.000000058430487e-008	4.712389e-005	4.835426e+000	4.840433e+000
1.000000011686097e-007	9.424777e-005	4.831900e+000	4.843961e+000
3.790178583114671e-006	3.576158e-003	4.561671e+000	5.114140e+000
7.480357165060731e-006	7.051593e-003	4.298354e+000	5.377319e+000
1.117053574700679e-005	1.052055e-002	4.041948e+000	5.633496e+000
1.486071432895285e-005	1.398304e-002	3.792452e+000	5.882672e+000
1.855089291089891e-005	1.743905e-002	3.549868e+000	6.124848e+000
2.224107149284498e-005	2.088858e-002	3.314195e+000	6.360022e+000
2.593125007479103e-005	2.433164e-002	3.085432e+000	6.588196e+000
3.081406257479103e-005	2.886047e-002	2.806959e+000	6.865764e+000
3.569687507479102e-005	3.336214e-002	2.550876e+000	7.120806e+000
4.057968757479102e-005	3.783241e-002	2.317893e+000	7.352624e+000
4.546250007479102e-005	4.226708e-002	2.107975e+000	7.561265e+000
5.034531257479102e-005	4.666196e-002	1.920475e+000	7.747389e+000
5.522812507479101e-005	5.101293e-002	1.754272e+000	7.912133e+000
6.011093757479101e-005	5.531588e-002	1.607915e+000	8.056958e+000
6.499375007479101e-005	5.956678e-002	1.479753e+000	8.183531e+000
6.987656257479101e-005	6.376161e-002	1.368042e+000	8.293605e+000
7.475937507479102e-005	6.789643e-002	1.271034e+000	8.388943e+000
7.964218757479102e-005	7.196735e-002	1.187037e+000	8.471247e+000
8.452500007479103e-005	7.597054e-002	1.114461e+000	8.542114e+000
8.940781257479103e-005	7.990222e-002	1.051843e+000	8.603020e+000
9.429062507479103e-005	8.375871e-002	9.978608e-001	8.655291e+000
9.917343757479104e-005	8.753636e-002	9.513354e-001	8.700114e+000
1.040562500747910e-004	9.123163e-002	9.112273e-001	8.738536e+000
1.089390625747911e-004	9.484103e-002	8.766283e-001	8.771471e+000
1.138218750747911e-004	9.836118e-002	8.467505e-001	8.799709e+000
1.187046875747911e-004	1.017887e-001	8.209145e-001	8.823937e+000
1.235875000747911e-004	1.051205e-001	7.985373e-001	8.844741e+000
1.284703125747911e-004	1.083533e-001	7.791202e-001	8.862622e+000
1.333531250747911e-004	1.114842e-001	7.622380e-001	8.878010e+000
1.382359375747911e-004	1.145101e-001	7.475288e-001	8.891268e+000
1.431187500747911e-004	1.174283e-001	7.346853e-001	8.902708e+000
1.480015625747911e-004	1.202359e-001	7.234467e-001	8.912592e+000
1.528843750747911e-004	1.229304e-001	7.135918e-001	8.921143e+000
1.577671875747911e-004	1.255092e-001	7.049333e-001	8.928551e+000
1.626500000747911e-004	1.279698e-001	6.973125e-001	8.934976e+000
1.675328125747911e-004	1.303100e-001	6.905947e-001	8.940555e+000
1.724156250747911e-004	1.325276e-001	6.846660e-001	8.945402e+000
1.772984375747911e-004	1.346205e-001	6.794298e-001	8.949616e+000
1.821812500747911e-004	1.365866e-001	6.748043e-001	8.953281e+000
1.870640625747911e-004	1.384242e-001	6.707201e-001	8.956467e+000
1.919468750747911e-004	1.401315e-001	6.671185e-001	8.959233e+000
1.968296875747911e-004	1.417069e-001	6.639498e-001	8.961630e+000
2.017125000747911e-004	1.431490e-001	6.611722e-001	8.963701e+000
2.065953125747911e-004	1.444563e-001	6.587498e-001	8.965483e+000
2.114781250747911e-004	1.456276e-001	6.566532e-001	8.967005e+000
2.163609375747911e-004	1.466620e-001	6.548575e-001	8.968294e+000
2.212437500747911e-004	1.475582e-001	6.533419e-001	8.969370e+000
2.261265625747911e-004	1.483156e-001	6.520895e-001	8.970251e+000
2.310093750747911e-004	1.489334e-001	6.510866e-001	8.970951e+000
2.358921875747912e-004	1.494111e-001	6.503226e-001	8.971480e+000
2.407750000747912e-004	1.497481e-001	6.497895e-001	8.971849e+000
2.456578125747911e-004	1.499442e-001	6.494818e-001	8.972061e+000
2.505406250747911e-004	1.499991e-001	6.493962e-001	8.972121e+000
2.554234375747911e-004	1.499129e-001	6.495320e-001	8.972029e+000
2.603062500747911e-004	1.496856e-001	6.498904e-001	8.971783e+000
2.651890625747911e-004	1.493174e-001	6.504752e-001	8.971380e+000
2.700718750747912e-004	1.488087e-001	6.512924e-001	8.970814e+000
2.749546875747912e-004	1.481599e-001	6.523504e-001	8.970076e+000
2.798375000747912e-004	1.473717e-001	6.536608e-001	8.969154e+000
2.847203125747912e-004	1.464448e-001	6.552376e-001	8.968034e+000
2.896031250747912e-004	1.453800e-001	6.570987e-001	8.966696e+000
2.944859375747912e-004	1.441785e-001	6.592655e-001	8.965120e+000
2.993687500747912e-004	1.428412e-001	6.617640e-001	8.963279e+000
3.042515625747912e-004	1.413695e-001	6.646250e-001	8.961140e+000
3.091343750747912e-004	1.397647e-001	6.678853e-001	8.958667e+000
3.140171875747912e-004	1.380284e-001	6.715885e-001	8.955814e+000
3.189000000747912e-004	1.361622e-001	6.757860e-001	8.952530e+000
3.237828125747912e-004	1.341679e-001	6.805388e-001	8.948752e+000
3.286656250747912e-004	1.320472e-001	6.859186e-001	8.944407e+000
3.335484375747912e-004	1.298023e-001	6.920103e-001	8.939410e+000
3.384312500747912e-004	1.274353e-001	6.989139e-001	8.933659e+000
3.433140625747912e-004	1.249482e-001	7.067477e-001	8.927032e+000
3.481968750747912e-004	1.223436e-001	7.156507e-001	8.919390e+000
3.530796875747912e-004	1.196239e-001	7.257878e-001	8.910566e+000
3.579625000747912e-004	1.167915e-001	7.373528e-001	8.900365e+000
3.628453125747912e-004	1.138493e-001	7.505752e-001	8.888554e+000
