time	V(vid)	V(vod1)	V(vod2)
0.000000000000000e+000	0.000000e+000	4.854045e+000	4.854045e+000
7.142857226329270e-009	6.731984e-006	4.853960e+000	4.854127e+000
1.428571445265854e-008	1.346397e-005	4.853845e+000	4.854240e+000
2.142857167898781e-008	2.019595e-005	4.853702e+000	4.854382e+000
2.857142890531708e-008	2.692794e-005	4.853529e+000	4.854555e+000
3.571428613164635e-008	3.365992e-005	4.853327e+000	4.854758e+000
4.285714335797562e-008	4.039190e-005	4.853096e+000	4.854991e+000
5.000000058430487e-008	4.712389e-005	4.852835e+000	4.855254e+000
6.537500011185266e-006	6.184445e-003	4.638212e+000	5.069850e+000
1.302500002178623e-005	1.228647e-002	4.426433e+000	5.281542e+000
1.951250003238719e-005	1.835319e-002	4.217498e+000	5.490328e+000
2.600000004298815e-005	2.438461e-002	4.011406e+000	5.696210e+000
3.248750005358912e-005	3.038073e-002	3.808157e+000	5.899186e+000
3.897500006419007e-005	3.634155e-002	3.607753e+000	6.099258e+000
4.546250007479102e-005	4.226708e-002	3.410192e+000	6.296424e+000
6.011093757479101e-005	5.531588e-002	2.990206e+000	6.715282e+000
7.475937507479102e-005	6.789643e-002	2.606061e+000	7.097983e+000
8.452500007479103e-005	7.597054e-002	2.372915e+000	7.329994e+000
9.429062507479103e-005	8.375871e-002	2.159682e+000	7.541965e+000
1.040562500747910e-004	9.123163e-002	1.967160e+000	7.733110e+000
1.138218750747911e-004	9.836118e-002	1.795622e+000	7.903172e+000
1.187046875747911e-004	1.017887e-001	1.717660e+000	7.980366e+000
1.235875000747911e-004	1.051205e-001	1.644806e+000	8.052437e+000
1.284703125747911e-004	1.083533e-001	1.576946e+000	8.119498e+000
1.333531250747911e-004	1.114842e-001	1.513945e+000	8.181694e+000
1.382359375747911e-004	1.145101e-001	1.455637e+000	8.239190e+000
1.431187500747911e-004	1.174283e-001	1.401841e+000	8.292173e+000
1.480015625747911e-004	1.202359e-001	1.352357e+000	8.340846e+000
1.528843750747911e-004	1.229304e-001	1.306974e+000	8.385426e+000
1.577671875747911e-004	1.255092e-001	1.265473e+000	8.426134e+000
1.626500000747911e-004	1.279698e-001	1.227630e+000	8.463200e+000
1.675328125747911e-004	1.303100e-001	1.193222e+000	8.496849e+000
1.724156250747911e-004	1.325276e-001	1.162028e+000	8.527306e+000
1.772984375747911e-004	1.346205e-001	1.133835e+000	8.554789e+000
1.821812500747911e-004	1.365866e-001	1.108438e+000	8.579506e+000
1.870640625747911e-004	1.384242e-001	1.085641e+000	8.601656e+000
1.919468750747911e-004	1.401315e-001	1.065262e+000	8.621425e+000
1.968296875747911e-004	1.417069e-001	1.047132e+000	8.638983e+000
2.017125000747911e-004	1.431490e-001	1.031095e+000	8.654490e+000
2.065953125747911e-004	1.444563e-001	1.017011e+000	8.668088e+000
2.114781250747911e-004	1.456276e-001	1.004753e+000	8.679907e+000
2.163609375747911e-004	1.466620e-001	9.942081e-001	8.690060e+000
2.261265625747911e-004	1.483156e-001	9.778845e-001	8.705751e+000
2.358921875747912e-004	1.494111e-001	9.674263e-001	8.715786e+000
2.456578125747911e-004	1.499442e-001	9.624346e-001	8.720570e+000
2.554234375747911e-004	1.499129e-001	9.627179e-001	8.720297e+000
2.651890625747911e-004	1.493174e-001	9.682868e-001	8.714957e+000
2.749546875747912e-004	1.481599e-001	9.793550e-001	8.704332e+000
2.847203125747912e-004	1.464448e-001	9.963436e-001	8.687995e+000
2.896031250747912e-004	1.453800e-001	1.007249e+000	8.677489e+000
2.944859375747912e-004	1.441785e-001	1.019890e+000	8.665295e+000
2.993687500747912e-004	1.428412e-001	1.034384e+000	8.651295e+000
3.042515625747912e-004	1.413695e-001	1.050859e+000	8.635355e+000
3.091343750747912e-004	1.397647e-001	1.069459e+000	8.617332e+000
3.140171875747912e-004	1.380284e-001	1.090343e+000	8.597063e+000
3.189000000747912e-004	1.361622e-001	1.113683e+000	8.574373e+000
3.237828125747912e-004	1.341679e-001	1.139665e+000	8.549073e+000
3.286656250747912e-004	1.320472e-001	1.168485e+000	8.520965e+000
3.335484375747912e-004	1.298023e-001	1.200351e+000	8.489835e+000
3.384312500747912e-004	1.274353e-001	1.235478e+000	8.455464e+000
3.433140625747912e-004	1.249482e-001	1.274088e+000	8.417630e+000
3.481968750747912e-004	1.223436e-001	1.316405e+000	8.376102e+000
3.530796875747912e-004	1.196239e-001	1.362651e+000	8.330656e+000
3.579625000747912e-004	1.167915e-001	1.413043e+000	8.281068e+000
3.628453125747912e-004	1.138493e-001	1.467793e+000	8.227125e+000
3.677281250747912e-004	1.107998e-001	1.527094e+000	8.168628e+000
3.726109375747912e-004	1.076462e-001	1.591127e+000	8.105392e+000
3.774937500747912e-004	1.043912e-001	1.660050e+000	8.037259e+000
3.872593750747913e-004	9.758954e-002	1.813066e+000	7.885777e+000
3.970250000747913e-004	9.042063e-002	1.986860e+000	7.713441e+000
4.067906250747913e-004	8.291140e-002	2.181636e+000	7.520027e+000
4.165562500747913e-004	7.509010e-002	2.397063e+000	7.305847e+000
4.263218750747913e-004	6.698619e-002	2.632290e+000	7.071743e+000
4.409703125747913e-004	5.436738e-002	3.019242e+000	6.686226e+000
4.556187500747913e-004	4.128835e-002	3.441541e+000	6.265052e+000
4.618966518605056e-004	3.554679e-002	3.633301e+000	6.073676e+000
4.681745536462199e-004	2.977253e-002	3.827701e+000	5.879604e+000
4.744524554319342e-004	2.396558e-002	4.024741e+000	5.682834e+000
4.807303572176485e-004	1.812594e-002	4.224419e+000	5.483368e+000
4.870082590033628e-004	1.225361e-002	4.426737e+000	5.281206e+000
4.932861607890771e-004	6.348580e-003	4.631694e+000	5.076346e+000
4.995640625747914e-004	4.108608e-004	4.839290e+000	4.868790e+000
5.058419643605057e-004	-5.527513e-003	5.046917e+000	4.661146e+000
5.121198661462200e-004	-1.143446e-002	5.251952e+000	4.456037e+000
5.183977679319343e-004	-1.730997e-002	5.454393e+000	4.253462e+000
5.246756697176486e-004	-2.315406e-002	5.654243e+000	4.053421e+000
5.309535715033628e-004	-2.896672e-002	5.851500e+000	3.855915e+000
5.372314732890771e-004	-3.474795e-002	6.046164e+000	3.660943e+000
5.435093750747914e-004	-4.049775e-002	6.238235e+000	3.468506e+000
5.581578125747914e-004	-5.360072e-002	6.661373e+000	3.044285e+000
5.728062500747914e-004	-6.624995e-002	7.049280e+000	2.654975e+000
5.825718750747914e-004	-7.437763e-002	7.285161e+000	2.417985e+000
5.923375000747914e-004	-8.222537e-002	7.501220e+000	2.200690e+000
6.021031250747914e-004	-8.976363e-002	7.696568e+000	2.003987e+000
6.118687500747915e-004	-9.696405e-002	7.870841e+000	1.828256e+000
6.216343750747915e-004	-1.037995e-001	8.024217e+000	1.673341e+000
